date,show_start,show_end,show_minutes,gap_from_previous_min,show_title,replay_hashes,archive_entries_before,disposition,action
2018-06-12,02:58,03:28,29,,e3育碧发布会1,yVmjvBxbayzMqkNb,2018-06-12-live-01 | 2018-06-12-live-02,当日第一段，已被现有录像覆盖,
2018-06-12,03:59,05:39,100,32,e3育碧发布会1,jNBdvnprLKBME2yw,2018-06-12-live-01 | 2018-06-12-live-02,间隔较长但已由现有条目的录像覆盖（条目时长等于各段合计）,
2018-06-12,05:45,08:07,143,6,e3育碧发布会1,NVm0WKpzO1PvJeBP 4xq3WDRp09r7LGNz,2018-06-12-live-01 | 2018-06-12-live-02,同场断线重连，已被现有录像覆盖,
2018-06-13,03:11,05:04,114,,E3展会第一天,0Q8mMYa9OD8M49Ad,2018-06-13-live-01,当日第一段，已被现有录像覆盖,
2018-06-13,05:33,06:23,50,29,E3展会第一天,n8GzMXGmXby76qyP,2018-06-13-live-01,同场断线重连，已被现有录像覆盖,
2018-06-13,07:07,07:44,37,44,E3展会第一天,Aox276N23dK7Vz8Z,2018-06-13-live-01,间隔较长但已由现有条目的录像覆盖（条目时长等于各段合计）,
2018-06-13,07:48,09:02,74,4,E3展会第一天,wLjGvLlqjdEvmO90,2018-06-13-live-01,同场断线重连，已被现有录像覆盖,
2018-06-13,10:12,10:19,7,70,E3展会第一天,jNBdvnprwEBME2yw,2018-06-13-live-01,间隔较长但已由现有条目的录像覆盖（条目时长等于各段合计）,
2018-06-21,16:45,16:56,11,,在家里晒黑黑,8KxjMdBlkxovVLwb,2018-06-21-live-01,当日第一段，已被现有录像覆盖,
2018-06-21,16:57,18:27,89,1,在家里晒黑黑,0Q8mMYa5GyqM49Ad,2018-06-21-live-01,同场断线重连，已被现有录像覆盖,
2018-11-29,11:07,16:26,319,,什么时候能神装,EO0XvNpdKZXMDrBd XqeO74xdok27xywG yVY8WwXqKGVvLOz9,2018-11-29-live-01 | 2018-11-29-live-02,当日第一段，已被现有录像覆盖,
2018-11-29,17:00,18:41,101,34,什么时候能神装,yVY8WwXqKbdvLOz9,2018-11-29-live-01 | 2018-11-29-live-02,间隔较长但已由现有条目的录像覆盖（条目时长等于各段合计）,
2018-11-29,21:08,01:03,236,146,什么时候能神装,LDBbMA4djnV7yJRP aRbBv30daOX76PYV,2018-11-29-live-01 | 2018-11-29-live-02,间隔较长但已由现有条目的录像覆盖（条目时长等于各段合计）,
2019-03-06,13:22,13:33,12,,探班from software支狼,2Bj8vG5QGqyMObnd,2019-03-06-live-01,当日第一段，已被现有录像覆盖,
2019-03-06,13:35,15:00,85,1,探班from software支狼,0Q8mMY0qbN2749Ad,2019-03-06-live-01,同场断线重连，已被现有录像覆盖,
2019-03-06,15:05,15:20,15,5,探班from software 隻狼,DO84vr6r3VwvedGr,2019-03-06-live-01,同场断线重连，已被现有录像覆盖,
2019-03-07,21:00,21:08,8,,鬼泣5发布会后台～,Bjq4Mew0wLxv5Ea8,2019-03-07-live-01,当日第一段，已被现有录像覆盖,
2019-03-07,21:16,21:40,25,8,鬼泣5发布会后台～,4xq3WDXQXaRWLGNz,2019-03-07-live-01,同场断线重连，已被现有录像覆盖,
2019-04-02,14:16,14:34,18,,主持新浪游戏盛典,GnzXvb4e2BlM462l,2019-04-02-live-01,当日第一段，已被现有录像覆盖,
2019-04-02,14:34,16:45,131,0,主持新浪游戏盛典,brN0MmdR9a07pyxA 3rob7jDmY6KWgkZl,2019-04-02-live-01,同场断线重连，已被现有录像覆盖,
2019-06-14,04:59,05:31,32,,E3游戏展现场,8pa9v5OKmLqMVrqA,2019-06-14-live-01,已挂在档案条目,
2019-06-14,05:33,07:21,108,2,E3游戏展现场,NbwE7Z1pEoPvn5Zz,2019-06-14-live-01,同场断线重连／中场休息的前后段，现有录像没有,task-054 补挂到 2019-06-14-live-01 并订正时长
2019-08-08,14:18,15:19,61,,到敦煌了，暴晒,X3JzMaJobkAWPQro,2019-08-08-live-01,已挂在档案条目,
2019-08-08,15:30,15:46,16,11,到敦煌了，暴晒,6Aw87OpNx1xMYGkg,2019-08-08-live-01,同场断线重连／中场休息的前后段，现有录像没有,task-054 补挂到 2019-08-08-live-01 并订正时长
2019-08-08,15:47,16:13,26,1,到敦煌了，暴晒,jwzOvpZA0jLMZVRm,2019-08-08-live-01,同场断线重连／中场休息的前后段，现有录像没有,task-054 补挂到 2019-08-08-live-01 并订正时长
2019-08-08,19:48,20:42,54,215,到敦煌了，暴晒,mPyq7ok0gXD71gLY,2019-08-08-live-01,另开的一场（独立场次）,task-054 新建 2019-08-08-live-02
2019-08-08,20:47,21:21,34,5,到敦煌了，暴晒,GnzXvb4Do2lM462l,2019-08-08-live-01,另开的一场（独立场次）,task-054 新建 2019-08-08-live-02
2019-08-10,07:23,07:40,17,,冷湖直播斗鱼超级火箭,XqeO74p1Bne7xywG,2019-08-10-live-01,已挂在档案条目,
2019-08-10,07:51,11:01,190,11,冷湖直播斗鱼超级火箭,Yo4evybE56N78L62 XqeO74p1B0P7xywG,2019-08-10-live-01,同场断线重连／中场休息的前后段，现有录像没有,task-054 补挂到 2019-08-10-live-01 并订正时长
2019-11-20,15:09,17:08,120,,双人we were heretogeth,8pa9v5jZnQq7VrqA,2019-11-20-live-01,当日第一段，已被现有录像覆盖,
2019-11-20,17:09,19:50,161,0,双人we were heretogeth,n8GzMXl0ZkrM6qyP DrwnvzbPeDVvPNaX,2019-11-20-live-01,同场断线重连，已被现有录像覆盖,
2019-11-24,09:07,11:04,117,,怪物猎人狩猎季,Bjq4Me4JZLx75Ea8,2019-11-24-live-01,当日第一段，已被现有录像覆盖,
2019-11-24,14:34,16:11,97,211,怪物猎人狩猎季,2V0JMVJ0l9EMRY5k,2019-11-24-live-01,间隔较长但已由现有条目的录像覆盖（条目时长等于各段合计）,
2019-12-25,15:11,15:45,34,,天儿挺冷·····,a4Jj7l2Boy2WDk01,2019-12-25-live-01,当日第一段，已被现有录像覆盖,
2019-12-25,17:24,19:23,119,99,天儿挺冷·····,Kg1VWRPQ14Q7GbNA,2019-12-25-live-01,间隔较长但已由现有条目的录像覆盖（条目时长等于各段合计）,
2019-12-25,19:24,19:44,20,1,天儿挺冷·····,ZB5Kv95gk6eva93x,2019-12-25-live-01,同场断线重连，已被现有录像覆盖,
2020-07-25,15:06,18:32,206,,superliminal梦？现实？,Bjq4MeYYVlkM5Ea8 ZB5Kv9QQ05bva93x,2020-07-25-live-01,当日第一段，已被现有录像覆盖,
2020-07-25,19:05,20:21,76,34,梦幻西游送福利了,a2JEMJjjlpmMNxml,2020-07-25-live-01,间隔较长但已由现有条目的录像覆盖（条目时长等于各段合计）,
2020-08-02,15:53,16:11,18,,出来逛逛街吃点东西,DO84vrYBYrGWedGr,2020-08-02-live-01,当日第一段，已被现有录像覆盖,
2020-08-02,16:12,16:40,27,2,出来逛逛街吃点东西,JmbBMkVqVbN740XA,2020-08-02-live-01,同场断线重连，已被现有录像覆盖,
2020-08-02,16:41,17:37,56,1,出来逛逛街吃点东西,XqeO743g3AnvxywG,2020-08-02-live-01,同场断线重连，已被现有录像覆盖,
2020-08-02,17:45,18:11,26,9,出来逛逛街吃点东西,0zZVvPxbxGqvO4E2,2020-08-02-live-01,同场断线重连，已被现有录像覆盖,
2020-08-02,18:12,19:09,57,1,出来逛逛街吃点东西,NVm0WKxjxzNvJeBP,2020-08-02-live-01,同场断线重连，已被现有录像覆盖,
2020-09-07,15:10,15:26,17,,创世理想乡理想不理想,Kp1QM8p3xnpMk4bj,2020-09-07-live-01,当日第一段，已被现有录像覆盖,
2020-09-07,16:16,19:36,200,50,创世理想乡理想不理想,Kp1QM8p3xb3Mk4bj a4Jj7l3xmrjvDk01,2020-09-07-live-01,间隔较长但已由现有条目的录像覆盖（条目时长等于各段合计）,
2021-02-09,15:12,15:32,20,,出门买个糖葫芦,Qyz171gQ5RJWBJj9,2021-02-09-live-01,当日第一段，已被现有录像覆盖,
2021-02-09,15:34,18:26,172,2,出门买个糖葫芦,Bjq4MejwJBqW5Ea8 kDe0W2p1Q8g7A4Bz,2021-02-09-live-01,同场断线重连，已被现有录像覆盖,
2021-06-19,14:11,18:57,286,,阿凡达小分队出征gogo,ZB5Kv9bG3GZ7a93x brN0MmqnGa6MpyxA DO84vro3O907edGr,2021-06-19-live-01,当日第一段，已被现有录像覆盖,
2021-06-19,22:29,00:22,113,212,阿凡达小分队出征gogo,X3JzMa5YJkNMPQro,2021-06-19-live-01,间隔较长但已由现有条目的录像覆盖（条目时长等于各段合计）,
2021-07-05,11:38,11:45,7,,出门走走逛逛,8pa9v5ZbpOa7VrqA,2021-07-05-live-01,当日第一段，已被现有录像覆盖,
2021-07-05,11:57,12:22,26,12,出门走走逛逛,aRbBv3Re0ooW6PYV,2021-07-05-live-01,同场断线重连，已被现有录像覆盖,
2021-07-05,12:24,12:54,30,1,出门走走逛逛,85BAvqmj19qvG4Lm,2021-07-05-live-01,同场断线重连，已被现有录像覆盖,
2021-07-05,12:55,13:07,12,1,出门走走逛逛,jNBdvnOmpVZ7E2yw,2021-07-05-live-01,同场断线重连，已被现有录像覆盖,
2021-07-05,13:08,15:42,154,1,出门走走逛逛,brN0MmmPjgOMpyxA DrwnvzPjy8GMPNaX,2021-07-05-live-01,同场断线重连，已被现有录像覆盖,
2021-07-05,15:44,15:56,12,2,出门走走逛逛,a2JEMJ2BwjDMNxml,2021-07-05-live-01,同场断线重连，已被现有录像覆盖,
2021-07-05,15:57,16:09,12,1,出门走走逛逛,4xq3WDOkRgrMLGNz,2021-07-05-live-01,同场断线重连，已被现有录像覆盖,
