post_cst,tid,floor,url,status_2026_09,context
2015-01-10 17:15,3519696099,1,http://v.youku.com/v_show/id_XODY1MzI3MjA0.html,官方优酷号：已在档案, http://v.youku.com/v_show/id_XODY1MzI3MjA0.html 视频来自：优酷
2015-01-15 19:41,3530484387,1,http://v.youku.com/v_show/id_XODcyMzM3MDA0.html,官方优酷号：已在档案, http://v.youku.com/v_show/id_XODcyMzM3MDA0.html 视频来自：优酷
2015-01-15 19:42,3530486313,1,http://v.youku.com/v_show/id_XODcxODczNjI4.html,官方优酷号：已在档案, http://v.youku.com/v_show/id_XODcxODczNjI4.html 视频来自：优酷
2015-01-21 15:34,3541217131,1,http://www.douyutv.com/nvliu,直播间地址,斗鱼直播http://www.douyutv.com/nvliu 刚才软件冲突，她正在重启，赶进来，有视频
2015-01-22 17:25,3543181038,1,http://v.youku.com/v_show/id_XODc3MTM3Nzc2.html,官方优酷号：已在档案, http://v.youku.com/v_show/id_XODc3MTM3Nzc2.html 视频来自：优酷
2015-03-23 17:38,3654480373,1,http://www.douyutv.com/nvliuimage_emoticon20image_emoticon20,直播间地址,http://www.douyutv.com/nvliuimage_emoticon20image_emoticon20
2015-03-26 02:50,3659557405,1,http://v.youku.com/v_show/id_XOTE5NDYyMzcy.html,未能核实（优酷限流）, http://v.youku.com/v_show/id_XOTE5NDYyMzcy.html 视频来自：优酷
2015-04-21 22:21,3715596345,1,http://v.youku.com/v_show/id_XOTM4NDE3MjIw,未能核实（优酷限流）, http://v.youku.com/v_show/id_XOTM4NDE3MjIw 视频来自：优酷
2015-04-23 15:26,3718971670,1,http://v.youku.com/v_show/id_XOTM5MTEzMzY0.html,未能核实（优酷限流）, http://v.youku.com/v_show/id_XOTM5MTEzMzY0.html 视频来自：优酷
2015-04-26 23:28,3726358684,1,http://v.youku.com/v_show/id_XOTQxNTk1NDU2.html,未能核实（优酷限流）, http://v.youku.com/v_show/id_XOTQxNTk1NDU2.html 视频来自：优酷
2015-07-13 01:53,3890035389,17,http://www.xiami.com/widget/40332601_1770173934/singlePlayer.swf,歌单挂件,这首度娘不给传~ http://www.xiami.com/widget/40332601_1770173934/singlePlayer.swf 有和钢琴一起的大鼓点，开头是一个男的再数数(好像是数字~)
2015-07-13 02:00,3890035389,20,http://www.xiami.com/widget/40332601_1769076693/singlePlayer.swf,歌单挂件,纯钢琴 Flica的awake http://www.xiami.com/widget/40332601_1769076693/singlePlayer.swf
2015-07-15 15:12,3890035389,2,http://music.163.com/#/m/playlist?id=89498586,歌单,看群里很多人要网易云音乐的歌单，特此制作 http://music.163.com/#/m/playlist?id=89498586
2015-07-18 13:01,3902698103,2,http://wwimage_emoticon25w.acfun.tv/v/ac2026746,404，Wayback 无存档,http://wwimage_emoticon25w.acfun.tv/v/ac2026746
